qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
ALG13-203,Adig_Acropora_digitifera_11038,40.054,367,195,6,196,544,10,1089,4.65e-70,243,Adig,ALG13-203_Adig
ALG13-203,Ahya_Acropora_hyacinthus_926,50.549,91,45,0,213,303,43,315,5.64e-28,106,Ahya,ALG13-203_Ahya
ALG13-203,Amil_Acropora_millepora_3567,40.571,350,183,6,213,544,61,1089,1.66e-71,244,Amil,ALG13-203_Amil
ALG13-203,Apal_XM_021046334.2,29.206,630,318,16,162,758,54,1658,1.57e-63,238,Apal,ALG13-203_Apal
ALG13-203,Apoc_chromosome_6.777_1,40.058,347,181,8,219,545,85,1104,2.33e-64,239,Apoc,ALG13-203_Apoc
ALG13-203,Aque_XM_003389596.2,44.776,134,69,1,2,130,47,448,3.4e-27,110,Aque,ALG13-203_Aque
ALG13-203,Cgig_G28279.8,56.589,129,51,2,4,130,34,411,1.83e-35,143,Cgig,ALG13-203_Cgig
ALG13-203,Emue_Em0022g380a.t1,23.714,350,179,8,204,542,1,819,1.11e-19,96.3,Emue,ALG13-203_Emue
ALG13-203,Gasp_gasp1.m3.28705.m1,40.115,349,182,8,217,545,238,1263,1.93e-62,234,Gasp,ALG13-203_Gasp
ALG13-203,Gfas_gfas1.m1.2954.m1,39.266,354,188,8,210,544,209,1246,5.08e-63,235,Gfas,ALG13-203_Gfas
ALG13-203,Hsal_ENA_GHBP01005397_GHBP01005397.1,44.186,129,71,1,1,128,262,648,1.44e-28,115,Hsal,ALG13-203_Hsal
ALG13-203,Kiwa_ENA_GBGI01004123_GBGI01004123.1,35.338,133,81,2,2,129,68,466,1.35e-17,87.8,Kiwa,ALG13-203_Kiwa
ALG13-203,Mcap_adi2mcaRNA32255_R0,34.637,358,203,10,213,544,64,1122,5.37e-44,175,Mcap,ALG13-203_Mcap
ALG13-203,Msqu_ENA_GHBR01003844_GHBR01003844.1,43.307,127,69,2,4,128,70,447,4.25e-25,102,Msqu,ALG13-203_Msqu
ALG13-203,Nvec_XM_001636496.2,34.971,346,202,6,216,544,246,1265,1.27e-57,220,Nvec,ALG13-203_Nvec
ALG13-203,Pbac_AVPN01020935.1,55.906,127,55,1,4,130,767,390,1.1e-32,136,Pbac,ALG13-203_Pbac
ALG13-203,Pdam_Pocillopora_damicornis_11413,31.959,97,66,0,214,310,103,393,8.24e-11,60.1,Pdam,ALG13-203_Pdam
ALG13-203,Plut_plut2.m8.2338.m1,62.791,129,48,0,2,130,20,406,7.29e-43,168,Plut,ALG13-203_Plut
ALG13-203,Prus_31704_t,60.465,129,51,0,2,130,13,399,7.55e-46,162,Prus,ALG13-203_Prus
ALG13-203,Pver_TRINITY_DN2177_c0_g1_i2,40,340,185,7,219,544,240,1244,1.21e-61,231,Pver,ALG13-203_Pver
ALG13-203,Spis_Stylophora_pistillata_1935,39.823,339,187,6,219,544,85,1089,5.03e-63,229,Spis,ALG13-203_Spis
ATXN3-254,Adig_Acropora_digitifera_7036,51.399,286,125,5,1,281,22,852,1.36e-85,260,Adig,ATXN3-254_Adig
ATXN3-254,Ahya_Acropora_hyacinthus_2510,69.006,171,53,0,1,171,22,534,4.27e-79,238,Ahya,ATXN3-254_Ahya
ATXN3-254,Amil_Acropora_millepora_17614,48.571,210,100,2,48,254,1,615,6.69e-57,185,Amil,ATXN3-254_Amil
ATXN3-254,Apal_XM_021057908.2,61.215,214,76,1,1,214,13,633,1.49e-93,283,Apal,ATXN3-254_Apal
ATXN3-254,Apoc_chromosome_14.5654_1,58.848,243,89,2,1,239,1,708,8.1e-97,290,Apoc,ATXN3-254_Apoc
ATXN3-254,Aque_XM_011412198.2,48.4,250,109,4,1,247,21,719,6.45e-73,228,Aque,ATXN3-254_Aque
ATXN3-254,Cgig_G11724.8,43.896,385,150,9,1,349,1,1065,2.5e-100,302,Cgig,ATXN3-254_Cgig
ATXN3-254,Emue_Em0018g535a.t1,61.202,183,71,0,1,183,1,549,2.06e-83,254,Emue,ATXN3-254_Emue
ATXN3-254,Gasp_gasp1.m3.13221.m1,39.842,379,123,7,1,350,73,981,1.6e-72,231,Gasp,ATXN3-254_Gasp
ATXN3-254,Gfas_gfas1.m1.14408.m1,57.438,242,91,2,1,239,12,710,5.72e-94,285,Gfas,ATXN3-254_Gfas
ATXN3-254,Mcap_g22994,47.009,351,128,6,1,351,1,879,2.28e-96,289,Mcap,ATXN3-254_Mcap
ATXN3-254,Nvec_XM_032364304.1,51.779,253,79,2,1,213,123,872,8.58e-82,263,Nvec,ATXN3-254_Nvec
ATXN3-254,Pbac_AVPN01003760.1,42.647,136,70,3,77,204,7381,7788,1.3e-29,122,Pbac,ATXN3-254_Pbac
ATXN3-254,Plut_plut2.m8.14287.m1,58.824,238,92,2,1,237,41,739,2.12e-91,279,Plut,ATXN3-254_Plut
ATXN3-254,Prus_13683_t,58.577,239,93,3,1,238,1,702,3.6e-93,279,Prus,ATXN3-254_Prus
ATXN3-254,Pver_TRINITY_DN7216_c0_g1_i5,52.669,281,110,5,1,280,12,788,6.06e-89,284,Pver,ATXN3-254_Pver
ATXN3L-201,Adig_Acropora_digitifera_7036,51.394,251,114,3,1,248,22,759,1.22e-80,247,Adig,ATXN3L-201_Adig
ATXN3L-201,Ahya_Acropora_hyacinthus_2510,63.743,171,62,0,1,171,22,534,9.05e-74,224,Ahya,ATXN3L-201_Ahya
ATXN3L-201,Amil_Acropora_millepora_17614,45.098,204,104,3,48,248,1,597,2.54e-51,171,Amil,ATXN3L-201_Amil
ATXN3L-201,Apal_XM_021057908.2,58.209,201,84,0,1,201,13,615,2.32e-82,254,Apal,ATXN3L-201_Apal
ATXN3L-201,Apoc_chromosome_14.5654_1,54.132,242,108,1,1,242,1,717,1.35e-87,266,Apoc,ATXN3L-201_Apoc
ATXN3L-201,Aque_XM_011412198.2,51.892,185,88,1,1,184,21,575,1.09e-63,204,Aque,ATXN3L-201_Aque
ATXN3L-201,Cgig_G11724.8,49.807,259,109,3,1,257,1,720,1.58e-84,261,Cgig,ATXN3L-201_Cgig
ATXN3L-201,Emue_Em0018g535a.t1,56.522,184,80,0,1,184,1,552,8.27e-77,237,Emue,ATXN3L-201_Emue
ATXN3L-201,Gasp_gasp1.m3.13221.m1,40.803,299,124,5,1,264,73,915,1.93e-63,207,Gasp,ATXN3L-201_Gasp
ATXN3L-201,Gfas_gfas1.m1.14408.m1,53.719,242,106,2,1,242,12,719,2.38e-84,259,Gfas,ATXN3L-201_Gfas
ATXN3L-201,Mcap_g22994,51.383,253,111,3,1,248,1,738,3.28e-83,255,Mcap,ATXN3L-201_Mcap
ATXN3L-201,Msqu_ENA_GHBR01005824_GHBR01005824.1,45.455,44,24,0,4,47,265,396,9.88e-6,43.5,Msqu,ATXN3L-201_Msqu
ATXN3L-201,Nvec_XM_032364304.1,40.663,332,124,5,1,259,123,1118,7.46e-71,233,Nvec,ATXN3L-201_Nvec
ATXN3L-201,Pbac_AVPN01003760.1,38.655,119,32,2,1,79,6870,7223,1.95e-14,76.6,Pbac,ATXN3L-201_Pbac
ATXN3L-201,Plut_plut2.m8.14287.m1,61.376,189,73,0,1,189,41,607,6.97e-79,246,Plut,ATXN3L-201_Plut
ATXN3L-201,Prus_13683_t,60.847,189,74,0,1,189,1,567,3.38e-81,248,Prus,ATXN3L-201_Prus
ATXN3L-201,Pver_TRINITY_DN7216_c0_g1_i5,59.901,202,80,1,1,201,12,617,4.01e-78,255,Pver,ATXN3L-201_Pver
BAP1-202,Adig_Acropora_digitifera_13387,38.078,281,123,8,8,269,4,750,2.94e-47,170,Adig,BAP1-202_Adig
BAP1-202,Ahya_Acropora_hyacinthus_4346,27.488,211,135,6,5,207,10,612,3.54e-13,67,Ahya,BAP1-202_Ahya
BAP1-202,Amil_Acropora_millepora_9844,65,240,83,1,23,262,1,717,9.36e-105,331,Amil,BAP1-202_Amil
BAP1-202,Apal_XM_021053145.2,63.941,269,94,2,1,267,1,804,5.46e-118,369,Apal,BAP1-202_Apal
BAP1-202,Apoc_chromosome_13.2967_1,38.078,281,123,8,5,266,28,774,1.08e-47,172,Apoc,BAP1-202_Apoc
BAP1-202,Aque_XM_003387028.3,38.321,274,126,8,5,263,56,793,8.04e-50,180,Aque,BAP1-202_Aque
BAP1-202,Cgig_G30761.1,69.751,281,73,3,1,270,1,840,7.76e-136,414,Cgig,BAP1-202_Cgig
BAP1-202,Emue_Em0088g3a.t1,53.817,262,104,5,5,257,49,810,1.7099999999999998e-86,280,Emue,BAP1-202_Emue
BAP1-202,Gasp_gasp1.m3.18744.m1,34.194,310,122,9,5,264,37,870,6.57e-41,154,Gasp,BAP1-202_Gasp
BAP1-202,Gfas_gfas1.m1.5417.m1,38.989,277,118,8,5,262,27,761,2.54e-47,172,Gfas,BAP1-202_Gfas
BAP1-202,Kiwa_ENA_GBGI01003842_GBGI01003842.1,26.724,232,146,9,5,228,162,809,2.47e-10,62.4,Kiwa,BAP1-202_Kiwa
BAP1-202,Mcap_g35318,38.38,284,124,8,5,269,19,774,7.69e-48,173,Mcap,BAP1-202_Mcap
BAP1-202,Msqu_ENA_GHBR01003174_GHBR01003174.1,24.39,246,159,10,5,241,34,717,2.45e-8,53.5,Msqu,BAP1-202_Msqu
BAP1-202,Nvec_XM_001629843.2,38.028,284,125,8,5,269,8,763,1.14e-49,182,Nvec,BAP1-202_Nvec
BAP1-202,Pbac_AVPN01002589.1,58.712,264,101,4,5,264,443,1222,9.15e-91,313,Pbac,BAP1-202_Pbac
BAP1-202,Pdam_Pocillopora_damicornis_569,27.907,215,129,7,5,207,85,687,3.54e-13,68.6,Pdam,BAP1-202_Pdam
BAP1-202,Plut_plut2.m8.10758.m1,65.873,252,85,1,11,262,231,983,2.51e-110,358,Plut,BAP1-202_Plut
BAP1-202,Prus_15174_t,37.453,267,122,7,5,262,19,711,7.18e-42,155,Prus,BAP1-202_Prus
BAP1-202,Pver_TRINITY_DN10911_c0_g1_i2,38.028,284,125,8,5,269,29,784,1.55e-45,171,Pver,BAP1-202_Pver
BAP1-202,Spis_Stylophora_pistillata_14232,43.846,130,39,4,8,122,16,348,1.11e-23,96.7,Spis,BAP1-202_Spis
BRCC3-201,Adig_Acropora_digitifera_14512,54.475,257,85,5,14,265,49,738,6.85e-91,270,Adig,BRCC3-201_Adig
BRCC3-201,Ahya_Acropora_hyacinthus_8106,59.048,105,17,2,29,131,13,255,8.19e-34,116,Ahya,BRCC3-201_Ahya
BRCC3-201,Amil_Acropora_millepora_18185,53.906,256,86,5,15,265,127,813,2.49e-87,263,Amil,BRCC3-201_Amil
