qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
Arh1-Adprh-201,Adig_Acropora_digitifera_3911,58.974,156,63,1,201,355,1,468,1.04e-59,189,Adig,Arh1-Adprh-201_Adig
Arh1-Adprh-201,Ahya_Acropora_hyacinthus_496,63.504,137,49,1,203,338,4,414,5.71e-56,177,Ahya,Arh1-Adprh-201_Ahya
Arh1-Adprh-201,Amil_Acropora_millepora_18728,57.714,350,145,2,7,355,16,1059,5.89e-144,411,Amil,Arh1-Adprh-201_Amil
Arh1-Adprh-201,Apal_XM_021045764.2,57.471,348,144,2,5,350,162,1199,3.34e-129,381,Apal,Arh1-Adprh-201_Apal
Arh1-Adprh-201,Apoc_chromosome_5.931_1,58.382,346,142,1,6,351,10,1041,7.18e-148,422,Apoc,Arh1-Adprh-201_Apoc
Arh1-Adprh-201,Aque_XM_003385058.3,55.807,353,151,3,8,357,398,1450,7.86e-126,371,Aque,Arh1-Adprh-201_Aque
Arh1-Adprh-201,Cgig_G303.1,58.974,351,137,4,8,352,19,1068,8.45e-135,394,Cgig,Arh1-Adprh-201_Cgig
Arh1-Adprh-201,Emue_Em0020g563a.t1,53.161,348,159,2,5,350,10,1047,3.63e-130,377,Emue,Arh1-Adprh-201_Emue
Arh1-Adprh-201,Gasp_gasp1.m3.6571.m1,58.092,346,143,1,6,351,233,1264,3.57e-143,419,Gasp,Arh1-Adprh-201_Gasp
Arh1-Adprh-201,Gfas_gfas1.m1.19347.m1,57.429,350,146,2,7,355,79,1122,1e-144,414,Gfas,Arh1-Adprh-201_Gfas
Arh1-Adprh-201,Mcap_g43298,57.714,350,145,2,7,355,16,1059,1.4e-144,414,Mcap,Arh1-Adprh-201_Mcap
Arh1-Adprh-201,Nvec_XM_032372990.1,58.79,347,139,2,6,350,1308,2342,4.6e-138,419,Nvec,Arh1-Adprh-201_Nvec
Arh1-Adprh-201,Pdam_Pocillopora_damicornis_8721,58.96,346,140,1,6,351,16,1047,9.45e-128,369,Pdam,Arh1-Adprh-201_Pdam
Arh1-Adprh-201,Plut_plut2.m8.8658.m1,58.944,341,137,2,11,350,274,1290,3.22e-145,418,Plut,Arh1-Adprh-201_Plut
Arh1-Adprh-201,Prus_3071_t,58.551,345,140,2,7,350,16,1044,6.06e-146,417,Prus,Arh1-Adprh-201_Prus
Arh1-Adprh-201,Pver_TRINITY_DN6739_c0_g1_i4,59.827,346,137,1,6,351,70,1101,2.78e-133,398,Pver,Arh1-Adprh-201_Pver
Arh1-Adprh-201,Spis_Stylophora_pistillata_6117,58.382,346,142,1,6,351,46,1077,1.81e-145,415,Spis,Arh1-Adprh-201_Spis
Arh3-Adprs-201,Adig_Acropora_digitifera_3208,38.075,239,134,4,28,259,19,714,2.47e-45,154,Adig,Arh3-Adprs-201_Adig
Arh3-Adprs-201,Amil_Acropora_millepora_9180,40.401,349,184,6,28,368,76,1074,2.23e-59,195,Amil,Arh3-Adprs-201_Amil
Arh3-Adprs-201,Apal_XM_021058025.2,39.65,343,183,5,28,367,56,1021,1.19e-47,166,Apal,Arh3-Adprs-201_Apal
