qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
Senp1-204,Adig_Acropora_digitifera_12931,48.899,227,114,1,440,666,1375,2049,2.79e-78,262,Adig,Senp1-204_Adig
Senp1-204,Ahya_Acropora_hyacinthus_7708,32,100,51,3,472,554,109,408,1.68e-9,54.3,Ahya,Senp1-204_Ahya
Senp1-204,Amil_Acropora_millepora_9103,48.899,227,114,1,440,666,1366,2040,6.63e-78,261,Amil,Senp1-204_Amil
Senp1-204,Apal_XM_028661887.1,32.995,197,120,5,479,666,7,588,4.54e-26,107,Apal,Senp1-204_Apal
Senp1-204,Apoc_chromosome_9.985_1,53.304,227,104,1,440,666,1405,2079,3.36e-83,277,Apoc,Senp1-204_Apoc
Senp1-204,Aque_XM_020001636.1,48.78,205,103,1,462,666,1326,1934,5.93e-65,226,Aque,Senp1-204_Aque
Senp1-204,Cgig_G31407.4,45.307,309,156,4,358,666,1273,2160,7.83e-87,288,Cgig,Senp1-204_Cgig
Senp1-204,Emue_Em0004g1422a.t1,39.683,252,114,4,416,666,3355,3999,9.94e-50,188,Emue,Senp1-204_Emue
Senp1-204,Gasp_gasp1.m3.15258.m1,51.982,227,107,1,440,666,1418,2092,5.93e-79,270,Gasp,Senp1-204_Gasp
Senp1-204,Gfas_gfas1.m1.16119.m1,50.207,241,117,2,426,666,1469,2182,1.21e-79,272,Gfas,Senp1-204_Gfas
Senp1-204,Hsal_ENA_GHBP01001992_GHBP01001992.1,29.661,118,64,4,566,666,777,1124,2.37e-26,57.4,Hsal,Senp1-204_Hsal
Senp1-204,Kiwa_ENA_GBGI01010364_GBGI01010364.1,42.578,256,135,4,417,666,966,217,1.68e-59,211,Kiwa,Senp1-204_Kiwa
Senp1-204,Mcap_adi2mcaRNA5543_R0,41.791,134,68,2,541,666,118,513,7.57e-31,119,Mcap,Senp1-204_Mcap
Senp1-204,Msqu_ENA_GHBR01003310_GHBR01003310.1,23.016,126,72,4,533,639,240,599,3.32e-14,49.3,Msqu,Senp1-204_Msqu
Senp1-204,Nvec_XM_001640898.2,52.915,223,102,2,445,666,2095,2757,1.27e-76,266,Nvec,Senp1-204_Nvec
Senp1-204,Pbac_AVPN01002932.1,41.322,121,39,2,492,581,7971,7612,8.67e-23,106,Pbac,Senp1-204_Pbac
Senp1-204,Pdam_Pocillopora_damicornis_4509,58.065,124,50,1,543,666,1,366,9.87e-48,162,Pdam,Senp1-204_Pdam
Senp1-204,Plut_plut2.m8.16449.m1,45.333,225,86,3,442,666,1404,1967,4.91e-58,211,Plut,Senp1-204_Plut
Senp1-204,Prus_35620_t,38.163,283,101,3,436,666,565,1347,7.11e-61,210,Prus,Senp1-204_Prus
Senp1-204,Pver_TRINITY_DN3778_c0_g1_i2,55.066,227,100,1,440,666,1433,2107,2.71e-86,288,Pver,Senp1-204_Pver
Senp1-204,Spis_Stylophora_pistillata_10537,53.304,227,104,1,440,666,1513,2187,1.16e-85,283,Spis,Senp1-204_Spis
Senp2-201,Adig_Acropora_digitifera_12931,42.982,228,128,1,361,588,1372,2049,4.56e-66,227,Adig,Senp2-201_Adig
Senp2-201,Ahya_Acropora_hyacinthus_7708,30.851,94,51,2,394,473,109,390,1.22e-8,51.6,Ahya,Senp2-201_Ahya
Senp2-201,Amil_Acropora_millepora_9103,42.982,228,128,1,361,588,1363,2040,1.35e-65,226,Amil,Senp2-201_Amil
Senp2-201,Apal_XR_002334491.2,28.384,229,108,4,413,588,58,735,1.07e-18,87.8,Apal,Senp2-201_Apal
Senp2-201,Apoc_chromosome_9.985_1,46.491,228,120,1,361,588,1402,2079,4.63e-68,234,Apoc,Senp2-201_Apoc
Senp2-201,Aque_XM_020001636.1,43.627,204,113,1,385,588,1329,1934,5.15e-55,197,Aque,Senp2-201_Aque
Senp2-201,Cgig_G31407.4,45.306,245,131,2,345,588,1432,2160,1.31e-67,234,Cgig,Senp2-201_Cgig
Senp2-201,Emue_Em0004g1422a.t1,37.668,223,111,3,366,588,3415,3999,6.06e-41,160,Emue,Senp2-201_Emue
Senp2-201,Gasp_gasp1.m3.15258.m1,45.614,228,122,1,361,588,1415,2092,2.98e-66,233,Gasp,Senp2-201_Gasp
Senp2-201,Gfas_gfas1.m1.16119.m1,48.085,235,119,2,355,588,1484,2182,1.78e-69,241,Gfas,Senp2-201_Gfas
Senp2-201,Hsal_ENA_GHBP01001992_GHBP01001992.1,28.455,123,69,4,483,588,762,1124,1.59e-24,53.9,Hsal,Senp2-201_Hsal
