qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
Ash2l-201,Adig_Acropora_digitifera_4712,65.993,297,98,3,317,612,487,1371,2.82e-139,413,Adig,Ash2l-201_Adig
Ash2l-201,Ahya_Acropora_hyacinthus_6078,61.963,163,61,1,451,612,1,489,1.26e-65,210,Ahya,Ash2l-201_Ahya
Ash2l-201,Amil_Acropora_millepora_14278,65.993,297,98,3,317,612,448,1332,2.59e-139,413,Amil,Ash2l-201_Amil
Ash2l-201,Apal_XM_021036798.2,65.217,299,101,3,316,612,481,1374,3.95e-136,412,Apal,Ash2l-201_Apal
Ash2l-201,Apoc_chromosome_14.56_1,65.772,298,98,4,317,612,418,1305,8.63e-140,415,Apoc,Ash2l-201_Apoc
Ash2l-201,Aque_XM_019996598.1,47.489,438,187,11,190,618,19,1230,2.6e-123,373,Aque,Ash2l-201_Aque
Ash2l-201,Cgig_G3294.4,53.069,554,235,10,70,612,52,1671,0,526,Cgig,Ash2l-201_Cgig
Ash2l-201,Emue_Em0015g68a.t1,43.068,541,237,15,109,618,28,1530,1.35e-129,391,Emue,Ash2l-201_Emue
Ash2l-201,Gasp_gasp1.m3.16212.m1,63.973,297,96,4,317,612,429,1289,1.49e-129,394,Gasp,Ash2l-201_Gasp
Ash2l-201,Gfas_gfas1.m1.1102.m1,59.122,296,82,4,317,612,424,1194,6.59e-111,349,Gfas,Ash2l-201_Gfas
Ash2l-201,Hsal_ENA_GHBP01003731_GHBP01003731.1,49.123,171,77,3,328,490,366,872,4.28e-47,167,Hsal,Ash2l-201_Hsal
Ash2l-201,Kiwa_ENA_GBGI01016359_GBGI01016359.1,42.188,256,132,5,327,581,3913,4635,1.82e-52,194,Kiwa,Ash2l-201_Kiwa
Ash2l-201,Mcap_g37494,66.557,305,97,5,310,612,400,1305,2.35e-140,417,Mcap,Ash2l-201_Mcap
Ash2l-201,Msqu_ENA_GHBR01004413_GHBR01004413.1,48.969,194,89,3,427,613,3,575,2.12e-54,182,Msqu,Ash2l-201_Msqu
Ash2l-201,Nvec_XM_032375705.1,66.187,278,89,4,316,589,501,1331,5.7e-126,380,Nvec,Ash2l-201_Nvec
Ash2l-201,Pbac_AVPN01000045.1,36.402,239,64,4,384,538,92977,92273,6.2e-36,147,Pbac,Ash2l-201_Pbac
Ash2l-201,Plut_plut2.m8.19974.m1,56.705,261,82,2,353,612,1,693,5.87e-95,298,Plut,Ash2l-201_Plut
Ash2l-201,Prus_6797_t,50,86,43,0,527,612,3103,3360,1.23e-19,94.4,Prus,Ash2l-201_Prus
Ash2l-201,Pver_TRINITY_DN5318_c0_g1_i3,67.785,298,92,4,317,612,433,1320,8.59e-139,420,Pver,Ash2l-201_Pver
Ash2l-201,Spis_Stylophora_pistillata_13291,28.862,246,108,11,376,601,193,789,1.87e-9,60.1,Spis,Ash2l-201_Spis
Ezh1-203,Adig_Acropora_digitifera_14486,50.75,733,316,12,18,748,13,2082,0,708,Adig,Ezh1-203_Adig
Ezh1-203,Ahya_Acropora_hyacinthus_6509,38.122,181,107,3,18,195,13,549,6.02e-33,123,Ahya,Ezh1-203_Ahya
Ezh1-203,Amil_Acropora_millepora_12605,48.392,684,308,12,18,699,13,1935,0,624,Amil,Ezh1-203_Amil
Ezh1-203,Apal_XM_021056226.2,50.887,733,309,12,22,748,99,2162,0,711,Apal,Ezh1-203_Apal
Ezh1-203,Apoc_chromosome_1.210_1,38.554,332,185,7,19,342,52,1014,1.94e-64,228,Apoc,Ezh1-203_Apoc
Ezh1-203,Aque_XM_020003880.1,76.667,180,42,0,552,731,1,540,2.15e-98,302,Aque,Ezh1-203_Aque
Ezh1-203,Cgig_G26595.5,51.941,747,269,14,18,750,127,2139,0,724,Cgig,Ezh1-203_Cgig
Ezh1-203,Emue_Em0016g1110a.t1,62.539,323,115,3,429,746,1312,2277,4.36e-142,436,Emue,Ezh1-203_Emue
Ezh1-203,Gasp_gasp1.m3.19923.m1,50.678,738,312,13,19,748,111,2192,0,716,Gasp,Ezh1-203_Gasp
