qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
H1-0-201,Adig_Acropora_digitifera_6608,43.243,74,39,2,25,95,34,255,2.72e-11,58.9,Adig,H1-0-201_Adig
H1-0-201,Ahya_Acropora_hyacinthus_4740,42.353,85,45,3,25,105,34,288,2.03e-12,58.9,Ahya,H1-0-201_Ahya
H1-0-201,Amil_Acropora_millepora_21521,64.935,77,27,0,24,100,67,297,1.18e-27,103,Amil,H1-0-201_Amil
H1-0-201,Apal_XM_021062005.2,60.811,74,29,0,25,98,75,296,1.9e-25,98.2,Apal,H1-0-201_Apal
H1-0-201,Apoc_chromosome_5.1335_1,59.74,77,31,0,24,100,64,294,3.8e-25,97.1,Apoc,H1-0-201_Apoc
H1-0-201,Aque_XM_003384201.2,44.048,84,44,2,25,106,810,1058,2.09e-12,65.1,Aque,H1-0-201_Aque
H1-0-201,Cgig_G12362.1,54.667,75,33,1,25,98,76,300,3.59e-18,78.6,Cgig,H1-0-201_Cgig
H1-0-201,Emue_Em0002g1068a.t1,62.319,69,26,0,25,93,115,321,1.1e-20,85.5,Emue,H1-0-201_Emue
H1-0-201,Gasp_gasp1.m3.536.m1,61.039,77,29,1,24,100,55,282,9.9e-24,92,Gasp,H1-0-201_Gasp
H1-0-201,Gfas_gfas1.m1.18825.m1,61.333,75,29,0,24,98,73,297,6.37e-26,99,Gfas,H1-0-201_Gfas
H1-0-201,Hsal_ENA_GHBP01003442_GHBP01003442.1,41.772,79,43,2,25,100,396,632,1.75e-15,72,Hsal,H1-0-201_Hsal
H1-0-201,Mcap_g46302,60.759,79,31,0,24,102,70,306,3.06e-26,100,Mcap,H1-0-201_Mcap
H1-0-201,Msqu_ENA_GHBR01005020_GHBR01005020.1,33.333,84,53,1,24,104,206,457,1.81e-13,63.9,Msqu,H1-0-201_Msqu
H1-0-201,Nvec_XM_032375358.1,61.039,77,30,0,24,100,170,400,2.8e-24,98.6,Nvec,H1-0-201_Nvec
H1-0-201,Pbac_AVPN01000650.1,47.945,73,38,0,24,96,4109,3891,2.83e-16,78.2,Pbac,H1-0-201_Pbac
H1-0-201,Pdam_Pocillopora_damicornis_1036,62.5,72,27,0,24,95,64,279,1.28e-25,96.7,Pdam,H1-0-201_Pdam
H1-0-201,Plut_plut2.m8.20152.m1,59.211,76,30,1,24,99,667,891,1.72e-19,85.9,Plut,H1-0-201_Plut
H1-0-201,Prus_13325_t,61.111,72,28,0,24,95,61,276,5.71e-25,96.7,Prus,H1-0-201_Prus
H1-0-201,Pver_TRINITY_DN11776_c0_g2_i1,57.895,76,31,1,24,99,74,298,7.08e-20,86.3,Pver,H1-0-201_Pver
H1-0-201,Spis_Stylophora_pistillata_15184,42.667,75,40,2,24,95,19,243,9.37e-11,57.8,Spis,H1-0-201_Spis
H1-1-201,Adig_Acropora_digitifera_16210,45.714,70,36,2,46,114,1,207,9.26e-7,46.6,Adig,H1-1-201_Adig
H1-1-201,Ahya_Acropora_hyacinthus_4231,47.059,68,34,2,44,110,139,339,6.59e-6,43.1,Ahya,H1-1-201_Ahya
H1-1-201,Amil_Acropora_millepora_21521,45.07,71,37,2,45,114,85,294,8.95e-7,47.4,Amil,H1-1-201_Amil
H1-1-201,Apal_XM_028663550.1,46.479,71,36,2,45,114,109,318,2.88e-7,50.1,Apal,H1-1-201_Apal
H1-1-201,Apoc_chromosome_5.1335_1,43.662,71,38,2,45,114,82,291,1.32e-6,47.8,Apoc,H1-1-201_Apoc
H1-1-201,Aque_XM_003391206.1,49.275,69,32,1,45,110,94,300,1.22e-7,50.4,Aque,H1-1-201_Aque
H1-1-201,Cgig_G22558.2,47.826,69,33,1,45,110,82,288,1.34e-6,48.5,Cgig,H1-1-201_Cgig
H1-1-201,Gasp_gasp1.m3.14720.m1,42.647,68,37,2,45,111,82,282,8.02e-6,45.4,Gasp,H1-1-201_Gasp
H1-1-201,Gfas_gfas1.m1.18825.m1,45.833,72,37,2,45,115,91,303,1.89e-7,49.7,Gfas,H1-1-201_Gfas
H1-1-201,Mcap_g66453,45.946,74,38,2,45,117,76,294,1.24e-6,48.1,Mcap,H1-1-201_Mcap
H1-1-201,Nvec_XM_032381636.1,46.377,69,35,2,44,111,118,321,4.77e-8,53.1,Nvec,H1-1-201_Nvec
H1-1-201,Pdam_Pocillopora_damicornis_1036,42.647,68,37,2,45,111,82,282,1.25e-6,45.8,Pdam,H1-1-201_Pdam
H1-1-201,Prus_17463_t,44.286,70,38,1,45,114,79,285,1.06e-6,47.8,Prus,H1-1-201_Prus
H1-1-201,Spis_Stylophora_pistillata_20466,38.961,77,47,0,45,121,202,432,1.22e-6,47,Spis,H1-1-201_Spis
H1-10-201,Adig_Acropora_digitifera_16133,42.466,73,35,2,48,117,76,282,7.64e-6,44.3,Adig,H1-10-201_Adig
H1-10-201,Amil_Acropora_millepora_21521,42.667,75,36,2,47,118,76,288,3.77e-7,48.5,Amil,H1-10-201_Amil
H1-10-201,Apal_XM_028660273.1,40.789,76,40,3,44,117,70,288,6.94e-7,49.7,Apal,H1-10-201_Apal
H1-10-201,Cgig_G12362.3,40,70,42,0,47,116,82,291,4.56e-6,47,Cgig,H1-10-201_Cgig
H1-10-201,Gfas_gfas1.m1.19404.m1,45.833,72,37,2,47,118,268,477,5.34e-7,48.9,Gfas,H1-10-201_Gfas
H1-10-201,Nvec_XM_032381660.1,45.205,73,35,2,47,117,414,623,4.34e-7,50.8,Nvec,H1-10-201_Nvec
H1-10-201,Prus_17463_t,37.662,77,42,2,47,121,70,288,2.33e-6,47,Prus,H1-10-201_Prus
H1-2-201,Adig_Acropora_digitifera_16133,45.07,71,37,2,38,107,70,279,2.94e-7,48.1,Adig,H1-2-201_Adig
H1-2-201,Ahya_Acropora_hyacinthus_4231,48.649,74,36,2,35,107,121,339,2.61e-8,50.1,Ahya,H1-2-201_Ahya
H1-2-201,Amil_Acropora_millepora_21521,44,75,40,2,38,111,73,294,5.94e-8,50.8,Amil,H1-2-201_Amil
H1-2-201,Apal_XM_028663550.1,45.455,77,40,2,38,113,97,324,8.91e-10,57.4,Apal,H1-2-201_Apal
H1-2-201,Apoc_chromosome_5.1335_1,44,75,40,2,38,111,70,291,2.2e-8,52.8,Apoc,H1-2-201_Apoc
H1-2-201,Aque_XM_003391206.1,48.684,76,36,1,35,107,73,300,2.07e-8,52.4,Aque,H1-2-201_Aque
H1-2-201,Cgig_G22558.2,44.737,76,39,1,35,107,61,288,4.4e-7,50.1,Cgig,H1-2-201_Cgig
H1-2-201,Emue_Em0002g1068a.t1,43.373,83,33,3,32,105,88,321,7.97e-9,53.9,Emue,H1-2-201_Emue
H1-2-201,Gasp_gasp1.m3.4590.m1,44.304,79,42,2,30,107,1363,1596,6.03e-8,52.8,Gasp,H1-2-201_Gasp
H1-2-201,Gfas_gfas1.m1.18664.m1,40.506,79,47,0,35,113,43,279,2.07e-7,50.8,Gfas,H1-2-201_Gfas
H1-2-201,Mcap_g46302,46.667,75,38,2,38,111,76,297,2.3e-8,53.1,Mcap,H1-2-201_Mcap
H1-2-201,Nvec_XM_032381660.1,50.667,75,35,2,35,108,402,623,3.58e-10,60.1,Nvec,H1-2-201_Nvec
H1-2-201,Pdam_Pocillopora_damicornis_27307,42.857,77,42,2,33,108,55,282,7.21e-9,52.4,Pdam,H1-2-201_Pdam
H1-2-201,Plut_plut2.m8.17324.m1,45.205,73,39,1,35,107,805,1020,7.94e-7,49.3,Plut,H1-2-201_Plut
H1-2-201,Prus_17463_t,46.753,77,40,1,35,111,58,285,1.77e-9,55.5,Prus,H1-2-201_Prus
H1-2-201,Pver_TRINITY_DN11776_c0_g2_i1,39.744,78,46,1,33,110,65,295,1.41e-6,48.5,Pver,H1-2-201_Pver
H1-2-201,Spis_Stylophora_pistillata_20466,40.506,79,47,0,35,113,181,417,3.98e-7,48.5,Spis,H1-2-201_Spis
H1-3-201,Adig_Acropora_digitifera_16133,45.07,71,37,2,39,108,70,279,2.43e-7,48.5,Adig,H1-3-201_Adig
H1-3-201,Ahya_Acropora_hyacinthus_4231,49.296,71,34,2,39,108,130,339,5.65e-8,48.9,Ahya,H1-3-201_Ahya
H1-3-201,Amil_Acropora_millepora_6539,48.611,72,35,2,39,109,64,276,1.34e-7,49.7,Amil,H1-3-201_Amil
H1-3-201,Apal_XM_028663550.1,45.833,72,37,2,39,109,97,309,7.83e-9,54.7,Apal,H1-3-201_Apal
H1-3-201,Apoc_chromosome_3.457_1,47.887,71,36,1,39,109,73,282,1.38e-9,56.2,Apoc,H1-3-201_Apoc
H1-3-201,Aque_XM_003391206.1,49.315,73,34,1,39,108,82,300,6.58e-8,51.2,Aque,H1-3-201_Aque
H1-3-201,Cgig_G22558.2,45.205,73,37,1,39,108,70,288,1.32e-6,48.5,Cgig,H1-3-201_Cgig
H1-3-201,Emue_Em0002g1068a.t1,45.205,73,30,2,39,106,118,321,3.14e-8,52.4,Emue,H1-3-201_Emue
H1-3-201,Gasp_gasp1.m3.525.m1,45.714,70,37,1,39,108,67,273,1.82e-8,52.8,Gasp,H1-3-201_Gasp
H1-3-201,Gfas_gfas1.m1.18825.m1,45.833,72,37,2,39,109,79,291,2.96e-8,52,Gfas,H1-3-201_Gfas
H1-3-201,Mcap_g16009,48.611,72,35,2,39,109,64,276,7.73e-8,51.6,Mcap,H1-3-201_Mcap
H1-3-201,Nvec_XM_032381660.1,51.389,72,33,2,39,109,411,623,9.02e-10,58.9,Nvec,H1-3-201_Nvec
H1-3-201,Pdam_Pocillopora_damicornis_1036,43.056,72,39,2,39,109,70,282,2.56e-8,50.8,Pdam,H1-3-201_Pdam
H1-3-201,Plut_plut2.m8.11294.m1,47.222,72,36,2,39,109,67,279,1.3e-8,53.5,Plut,H1-3-201_Plut
H1-3-201,Prus_13325_t,47.222,72,36,2,39,109,67,279,1.34e-8,53.5,Prus,H1-3-201_Prus
H1-3-201,Pver_TRINITY_DN64333_c0_g1_i1,43.056,72,39,2,39,109,161,373,2.62e-7,50.8,Pver,H1-3-201_Pver
H1-3-201,Spis_Stylophora_pistillata_20466,40.278,72,43,0,37,108,184,399,3.67e-6,45.8,Spis,H1-3-201_Spis
H1-4-201,Adig_Acropora_digitifera_16133,45.07,71,37,2,38,107,70,279,1.6e-7,49.3,Adig,H1-4-201_Adig
H1-4-201,Ahya_Acropora_hyacinthus_4231,49.296,71,34,2,38,107,130,339,3.65e-8,49.7,Ahya,H1-4-201_Ahya
H1-4-201,Amil_Acropora_millepora_6539,48.611,72,35,2,38,108,64,276,1.07e-7,50.1,Amil,H1-4-201_Amil
H1-4-201,Apal_XM_028663550.1,45.833,72,37,2,38,108,97,309,8.14e-9,54.7,Apal,H1-4-201_Apal
H1-4-201,Apoc_chromosome_3.457_1,47.887,71,36,1,38,108,73,282,1.07e-9,56.6,Apoc,H1-4-201_Apoc
H1-4-201,Aque_XM_003391206.1,49.315,73,34,1,38,107,82,300,3.05e-8,52,Aque,H1-4-201_Aque
H1-4-201,Cgig_G22558.2,45.205,73,37,1,38,107,70,288,8.1e-7,49.3,Cgig,H1-4-201_Cgig
H1-4-201,Emue_Em0002g1068a.t1,45.205,73,30,2,38,105,118,321,2.21e-8,52.8,Emue,H1-4-201_Emue
H1-4-201,Gasp_gasp1.m3.525.m1,45.714,70,37,1,38,107,67,273,1.26e-8,53.1,Gasp,H1-4-201_Gasp
H1-4-201,Gfas_gfas1.m1.18825.m1,45.833,72,37,2,38,108,79,291,2.66e-8,52.4,Gfas,H1-4-201_Gfas
H1-4-201,Mcap_g66453,48.611,72,35,2,38,108,64,276,5.13e-8,52,Mcap,H1-4-201_Mcap
H1-4-201,Nvec_XM_032381660.1,51.389,72,33,2,38,108,411,623,4.86e-10,59.7,Nvec,H1-4-201_Nvec
H1-4-201,Pdam_Pocillopora_damicornis_28821,43.056,72,39,2,38,108,70,282,1.88e-8,50.8,Pdam,H1-4-201_Pdam
