qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
Tet1-206,Adig_Acropora_digitifera_14641,64.286,56,20,0,1917,1972,2350,2517,8.52e-14,76.3,Adig,Tet1-206_Adig
Tet1-206,Amil_Acropora_millepora_1047,46.961,362,149,6,1338,1696,541,1506,2.48e-91,327,Amil,Tet1-206_Amil
Tet1-206,Apal_XM_021045077.2,45.773,343,145,6,1355,1696,902,1810,8.57e-84,308,Apal,Tet1-206_Apal
Tet1-206,Apoc_chromosome_8.2414_1,49.699,332,128,4,1367,1698,643,1521,1.01e-93,335,Apoc,Tet1-206_Apoc
Tet1-206,Aque_XM_019993496.1,41.908,346,159,6,1353,1694,1067,1990,1.22e-72,269,Aque,Tet1-206_Aque
Tet1-206,Cgig_G1223.1,49.219,384,141,6,1349,1715,1117,2157,2.95e-105,368,Cgig,Tet1-206_Cgig
Tet1-206,Emue_Em0019g1209a.t1,41.108,343,160,9,1366,1707,466,1371,3.78e-72,263,Emue,Tet1-206_Emue
Tet1-206,Gasp_gasp1.m3.3131.m1,49.699,332,126,4,1367,1698,505,1377,4.11e-96,342,Gasp,Tet1-206_Gasp
Tet1-206,Gfas_gfas1.m1.18957.m1,46.226,318,124,6,1379,1696,919,1731,8.45e-78,281,Gfas,Tet1-206_Gfas
Tet1-206,Mcap_adi2mcaRNA27872_R0,49.245,331,129,7,1367,1696,628,1506,3.7e-88,318,Mcap,Tet1-206_Mcap
Tet1-206,Nvec_XM_001634845.2,46.847,333,134,5,1367,1696,1627,2505,5e-88,321,Nvec,Tet1-206_Nvec
Tet1-206,Pbac_AVPN01000841.1,52,50,23,1,1506,1555,31480,31334,4.67e-9,64.3,Pbac,Tet1-206_Pbac
Tet1-206,Plut_plut2.m8.3605.m1,49.387,326,124,5,1371,1696,884,1738,9.41e-91,330,Plut,Tet1-206_Plut
Tet1-206,Prus_28146_t,49.08,326,125,5,1371,1696,634,1488,9.24e-92,329,Prus,Tet1-206_Prus
Tet1-206,Pver_TRINITY_DN48362_c0_g1_i1,50,330,126,4,1367,1696,913,1785,7.41e-90,327,Pver,Tet1-206_Pver
Tet1-206,Spis_Stylophora_pistillata_12187,50.303,330,125,4,1367,1696,631,1503,9.49e-92,328,Spis,Tet1-206_Spis
Tet2-204,Adig_Acropora_digitifera_14641,49.66,294,134,3,1055,1348,667,1506,3.53e-89,313,Adig,Tet2-204_Adig
Tet2-204,Amil_Acropora_millepora_1047,49.66,294,134,3,1055,1348,667,1506,7.36e-87,313,Amil,Tet2-204_Amil
Tet2-204,Apal_XM_021045077.2,46.78,295,140,5,1055,1348,974,1810,1.29e-79,294,Apal,Tet2-204_Apal
Tet2-204,Apoc_chromosome_8.2414_1,47.863,351,163,5,1001,1350,526,1521,7.77e-91,326,Apoc,Tet2-204_Apoc
Tet2-204,Aque_XM_019993496.1,44.595,296,150,5,1050,1342,1124,1978,1.84e-71,265,Aque,Tet2-204_Aque
Tet2-204,Cgig_G1223.1,56.563,320,125,5,1053,1371,1249,2169,3.02e-106,370,Cgig,Tet2-204_Cgig
Tet2-204,Emue_Em0019g1209a.t1,44.71,293,149,5,1050,1342,484,1323,1e-71,262,Emue,Tet2-204_Emue
Tet2-204,Gasp_gasp1.m3.3131.m1,51.495,301,131,4,1051,1350,517,1377,3.31e-92,330,Gasp,Tet2-204_Gasp
Tet2-204,Gfas_gfas1.m1.18957.m1,45.918,294,136,4,1055,1348,919,1731,2.74e-75,273,Gfas,Tet2-204_Gfas
Tet2-204,Mcap_adi2mcaRNA27872_R0,50.676,296,130,5,1055,1348,661,1506,4.33e-85,308,Mcap,Tet2-204_Mcap
Tet2-204,Nvec_XM_001634845.2,49.828,291,131,4,1059,1348,1675,2505,1.82e-82,303,Nvec,Tet2-204_Nvec
Tet2-204,Pbac_AVPN01005509.1,40,75,44,1,1187,1261,4176,4397,4.25e-9,63.9,Pbac,Tet2-204_Pbac
Tet2-204,Plut_plut2.m8.3605.m1,51.877,293,126,4,1051,1342,884,1720,1.91e-89,325,Plut,Tet2-204_Plut
Tet2-204,Prus_28146_t,51.536,293,127,4,1051,1342,634,1470,6.24e-90,323,Prus,Tet2-204_Prus
