qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
APBB1-221,Adig_Acropora_digitifera_1503,37.255,306,176,7,370,664,2452,3354,1.92e-53,198,Adig,APBB1-221_Adig
APBB1-221,Ahya_Acropora_hyacinthus_343,37.736,53,32,1,367,419,160,315,8.83e-6,43.1,Ahya,APBB1-221_Ahya
APBB1-221,Amil_Acropora_millepora_1649,37.582,306,175,7,370,664,2434,3336,9.97e-54,200,Amil,APBB1-221_Amil
APBB1-221,Apal_XM_028660433.1,36.963,349,204,7,370,707,1841,2872,1.31e-53,201,Apal,APBB1-221_Apal
APBB1-221,Apoc_chromosome_6.2164_1,39.216,306,171,7,370,664,2296,3201,9.52e-55,204,Apoc,APBB1-221_Apoc
APBB1-221,Aque_XM_020001762.1,30.892,314,159,7,370,664,2625,3449,1.19e-32,135,Aque,APBB1-221_Aque
APBB1-221,Cgig_G27402.2,42.529,348,168,8,370,695,1030,2043,1.87e-75,258,Cgig,APBB1-221_Cgig
APBB1-221,Emue_Em0022g287a.t1,36.09,133,78,2,365,497,2227,2604,4.89e-14,76.6,Emue,APBB1-221_Emue
APBB1-221,Gasp_gasp1.m3.17494.m1,34.494,316,175,7,370,657,10,945,5.13e-50,177,Gasp,APBB1-221_Gasp
APBB1-221,Gfas_gfas1.m1.23221.m1,29.87,385,184,10,370,707,2476,3513,1.54e-39,157,Gfas,APBB1-221_Gfas
APBB1-221,Mcap_g12401,36.62,213,121,6,370,571,2296,2925,2.21e-29,125,Mcap,APBB1-221_Mcap
APBB1-221,Nvec_XM_032370847.1,38.701,354,200,8,365,707,2149,3192,2.25e-61,225,Nvec,APBB1-221_Nvec
APBB1-221,Plut_plut2.m8.6862.m1,38.562,306,172,7,370,664,2759,3661,2.87e-55,206,Plut,APBB1-221_Plut
APBB1-221,Prus_37769_t,38.462,130,78,1,535,664,52,435,4.87e-25,107,Prus,APBB1-221_Prus
APBB1-221,Pver_TRINITY_DN6217_c0_g1_i4,35.514,214,126,5,463,664,3181,3822,6.21e-34,140,Pver,APBB1-221_Pver
APBB1-221,Spis_Stylophora_pistillata_16593,38.636,308,172,8,370,664,1432,2343,9.79e-56,205,Spis,APBB1-221_Spis
ATM-229,Adig_Acropora_digitifera_15040,28.826,562,333,14,2510,3056,214,1743,4.18e-63,227,Adig,ATM-229_Adig
ATM-229,Ahya_Acropora_hyacinthus_11340,35.238,105,56,2,327,431,34,312,2.46e-11,60.5,Ahya,ATM-229_Ahya
ATM-229,Amil_Acropora_millepora_3322,50.61,820,373,12,2261,3056,1,2436,0,776,Amil,ATM-229_Amil
ATM-229,Apal_XM_028659142.1,33.084,1203,702,36,923,2068,3190,6660,2.92e-172,599,Apal,ATM-229_Apal
ATM-229,Apoc_chromosome_10.3112_1,39.636,2142,1143,50,922,2960,3133,9417,0,1375,Apoc,ATM-229_Apoc
ATM-229,Aque_XM_020000804.1,34.41,2043,1126,52,1070,3056,138,5792,0,1051,Aque,ATM-229_Aque
ATM-229,Cgig_G21711.1,37.942,2177,1234,41,923,3056,2752,9060,0,1405,Cgig,ATM-229_Cgig
ATM-229,Emue_Em0023g444a.t1,44.995,1109,537,18,2001,3056,5611,8877,0,919,Emue,ATM-229_Emue
ATM-229,Gasp_gasp1.m3.6032.m1,39.5,2081,1124,45,922,2925,2420,8488,0,1326,Gasp,ATM-229_Gasp
ATM-229,Gfas_gfas1.m1.19736.m1,41.985,1572,795,33,1538,3056,1,4524,0,1138,Gfas,ATM-229_Gfas
ATM-229,Hsal_ENA_GHBP01001336_GHBP01001336.1,34.89,364,193,6,2699,3055,274,1254,1.19e-62,221,Hsal,ATM-229_Hsal
ATM-229,Kiwa_ENA_GBGI01016729_GBGI01016729.1,28.716,592,362,13,2483,3056,1741,92,1.02e-71,253,Kiwa,ATM-229_Kiwa
ATM-229,Mcap_adi2mcaRNA5846_R0,32.193,1140,661,28,973,2063,2776,6006,1.16e-148,522,Mcap,ATM-229_Mcap
ATM-229,Msqu_ENA_GHBR01000003_GHBR01000003.1,35.223,247,129,4,2830,3052,2523,3242,1.28e-37,153,Msqu,ATM-229_Msqu
ATM-229,Nvec_XM_032376586.1,39.294,2209,1218,43,918,3056,3097,9564,0,1446,Nvec,ATM-229_Nvec
ATM-229,Pbac_AVPN01002953.1,24.335,263,143,9,2708,2968,4231,3605,1.23e-9,66.6,Pbac,ATM-229_Pbac
ATM-229,Pdam_Pocillopora_damicornis_7199,31.175,417,245,10,2667,3052,22,1239,8.54e-54,194,Pdam,ATM-229_Pdam
ATM-229,Plut_plut2.m8.5690.m1,46.901,1081,527,20,1903,2951,8,3205,0,914,Plut,ATM-229_Plut
ATM-229,Prus_490_t,47.208,985,453,21,2123,3056,23,2929,0,818,Prus,ATM-229_Prus
ATM-229,Pver_TRINITY_DN8199_c0_g1_i4,40.471,2209,1199,46,922,3056,2142,8642,0,1491,Pver,ATM-229_Pver
ATM-229,Spis_Stylophora_pistillata_12804,39.401,2104,1159,42,923,2951,2137,8325,0,1348,Spis,ATM-229_Spis
ATR-201,Adig_Acropora_digitifera_15040,58.632,585,234,5,2063,2644,4,1743,0,729,Adig,ATR-201_Adig
ATR-201,Amil_Acropora_millepora_1767,52,1375,636,15,1281,2644,7,4092,0,1427,Amil,ATR-201_Amil
ATR-201,Apal_XM_021039792.2,39.017,2768,1440,57,2,2644,304,8238,0,1778,Apal,ATR-201_Apal
ATR-201,Apoc_chromosome_8.1747_1,49.24,1842,878,24,776,2595,1825,7245,0,1738,Apoc,ATR-201_Apoc
ATR-201,Aque_XM_019994755.1,38.856,1871,1027,38,806,2644,2256,7613,0,1195,Aque,ATR-201_Aque
ATR-201,Cgig_G13675.2,52.66,752,323,9,1921,2644,1,2241,0,823,Cgig,ATR-201_Cgig
ATR-201,Emue_Em0016g527a.t1,46.198,1223,605,19,1434,2644,10,3555,0,1119,Emue,ATR-201_Emue
ATR-201,Gasp_gasp1.m3.25783.m1,43.503,1062,521,13,836,1894,38,2995,0,828,Gasp,ATR-201_Gasp
ATR-201,Gfas_gfas1.m1.17236.m1,36.856,2290,1284,44,8,2191,153,6854,0,1308,Gfas,ATR-201_Gfas
ATR-201,Hsal_ENA_GHBP01001336_GHBP01001336.1,49.537,432,204,5,2212,2643,1,1254,5.64e-131,418,Hsal,ATR-201_Hsal
ATR-201,Kiwa_ENA_GBGI01007071_GBGI01007071.1,30.946,391,216,7,2300,2644,2066,3214,6.02e-50,195,Kiwa,ATR-201_Kiwa
ATR-201,Mcap_g48771,50.564,1683,762,20,1014,2644,3760,8754,0,1689,Mcap,ATR-201_Mcap
ATR-201,Msqu_ENA_GHBR01005455_GHBR01005455.1,47.134,157,79,1,2255,2411,27,485,1.3e-39,144,Msqu,ATR-201_Msqu
ATR-201,Nvec_XM_032363055.1,50.85,1764,804,23,903,2644,3451,8619,0,1735,Nvec,ATR-201_Nvec
