qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
ADAR-202,Adig_Acropora_digitifera_479,33.244,743,402,19,502,1222,796,2808,1.07e-93,321,Adig,ADAR-202_Adig
ADAR-202,Amil_Acropora_millepora_3301,33.244,743,402,19,502,1222,832,2844,1.84e-92,319,Amil,ADAR-202_Amil
ADAR-202,Apal_XM_021052948.2,40.462,519,270,11,711,1221,1851,3314,9.06e-113,383,Apal,ADAR-202_Apal
ADAR-202,Apoc_chromosome_9.215_1,34.918,547,317,17,682,1223,553,2091,7.47e-70,249,Apoc,ADAR-202_Apoc
ADAR-202,Aque_XM_019993318.1,39.423,520,280,11,719,1221,1439,2944,2.08e-83,295,Aque,ADAR-202_Aque
ADAR-202,Cgig_G10242.1,34.89,728,391,16,502,1223,49,2001,3.71e-113,370,Cgig,ADAR-202_Cgig
ADAR-202,Emue_Em0037g9a.t1,39.163,526,261,15,723,1221,1954,3435,9.86e-96,333,Emue,ADAR-202_Emue
ADAR-202,Gasp_gasp1.m3.30295.m1,34.304,618,346,18,632,1223,330,2081,5.97e-74,264,Gasp,ADAR-202_Gasp
ADAR-202,Gfas_gfas1.m1.6594.m1,32.375,661,353,19,611,1223,278,2122,1.33e-78,277,Gfas,ADAR-202_Gfas
ADAR-202,Kiwa_ENA_GBGI01007347_GBGI01007347.1,25.189,397,233,15,871,1221,856,1992,5.9e-22,102,Kiwa,ADAR-202_Kiwa
ADAR-202,Mcap_g16610,43.529,510,245,11,723,1221,2157,3590,1.31e-118,398,Mcap,ADAR-202_Mcap
ADAR-202,Nvec_XM_001629565.2,32.748,626,362,23,613,1223,285,2030,3.67e-66,244,Nvec,ADAR-202_Nvec
ADAR-202,Pbac_AVPN01000454.1,37.109,512,278,13,723,1216,23376,24833,1.82e-77,285,Pbac,ADAR-202_Pbac
ADAR-202,Pdam_Pocillopora_damicornis_772,41.767,249,118,10,962,1203,1,687,1.07e-42,154,Pdam,ADAR-202_Pdam
ADAR-202,Plut_plut2.m8.18098.m1,32.07,739,412,16,502,1221,850,2853,2.78e-84,298,Plut,ADAR-202_Plut
ADAR-202,Prus_31983_t,31.935,739,413,14,502,1221,703,2706,2.39e-86,301,Prus,ADAR-202_Prus
ADAR-202,Pver_TRINITY_DN18141_c0_g1_i1,36.14,570,274,23,682,1223,715,2238,1.8e-75,271,Pver,ADAR-202_Pver
ADAR-202,Spis_Stylophora_pistillata_1110,42.323,508,253,10,723,1221,1828,3258,5.39e-120,398,Spis,ADAR-202_Spis
ADARB1-201,Adig_Acropora_digitifera_13658,46.44,646,285,14,80,699,277,2109,3.04e-164,488,Adig,ADARB1-201_Adig
ADARB1-201,Ahya_Acropora_hyacinthus_6667,44.248,113,48,3,84,188,1,318,4.32e-14,66.6,Ahya,ADARB1-201_Ahya
ADARB1-201,Amil_Acropora_millepora_470,46.285,646,286,14,80,699,277,2109,1.98e-163,487,Amil,ADARB1-201_Amil
ADARB1-201,Apal_XM_021052948.2,37.805,492,259,15,234,697,1896,3314,4.74e-80,278,Apal,ADARB1-201_Apal
