qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,spp,group
ACAT1-201,Adig_Acropora_digitifera_11780,69.424,399,120,2,31,427,64,1260,0,553,Adig,ACAT1-201_Adig
ACAT1-201,Ahya_Acropora_hyacinthus_4520,70.234,299,87,2,31,327,43,939,5.66e-143,408,Ahya,ACAT1-201_Ahya
ACAT1-201,Amil_Acropora_millepora_16320,41.523,407,217,6,41,426,1,1221,6.14e-92,283,Amil,ACAT1-201_Amil
ACAT1-201,Apal_XM_021052263.2,68.224,428,124,3,4,427,30,1289,0,565,Apal,ACAT1-201_Apal
ACAT1-201,Apoc_chromosome_10.2367_1,68.238,403,126,2,27,427,65,1273,0,546,Apoc,ACAT1-201_Apoc
ACAT1-201,Aque_XM_003383217.3,59.806,413,159,4,20,427,70,1302,1.69e-168,481,Aque,ACAT1-201_Aque
ACAT1-201,Cgig_G17019.10,66.247,397,133,1,31,427,25,1212,2.68e-180,509,Cgig,ACAT1-201_Cgig
ACAT1-201,Emue_Em0023g337a.t1,31.76,466,272,10,1,425,1,1383,2.4e-53,185,Emue,ACAT1-201_Emue
ACAT1-201,Gasp_gasp1.m3.27397.m1,39.268,410,241,6,24,427,53,1276,1.75e-79,254,Gasp,ACAT1-201_Gasp
ACAT1-201,Gfas_gfas1.m1.3722.m1,39.379,419,214,7,41,427,45,1277,1.83e-80,259,Gfas,ACAT1-201_Gfas
ACAT1-201,Hsal_ENA_GHBP01000655_GHBP01000655.1,49.239,197,98,2,231,426,980,1567,4.84e-49,174,Hsal,ACAT1-201_Hsal
ACAT1-201,Kiwa_ENA_GBGI01006703_GBGI01006703.1,48.642,405,189,3,41,427,1767,556,1.52e-116,353,Kiwa,ACAT1-201_Kiwa
ACAT1-201,Mcap_g46694,68.483,422,126,4,12,427,7,1269,0,559,Mcap,ACAT1-201_Mcap
ACAT1-201,Msqu_ENA_GHBR01003891_GHBR01003891.1,46.364,220,111,1,21,233,1,660,1.27e-61,197,Msqu,ACAT1-201_Msqu
ACAT1-201,Nvec_XM_001630345.2,40.92,413,232,6,21,427,208,1428,3.7e-90,290,Nvec,ACAT1-201_Nvec
ACAT1-201,Pbac_AVPN01007365.1,25.481,416,260,10,36,411,1946,3163,9.19e-29,121,Pbac,ACAT1-201_Pbac
ACAT1-201,Pdam_Pocillopora_damicornis_1075,31.628,430,252,7,35,426,157,1434,5.68e-51,177,Pdam,ACAT1-201_Pdam
ACAT1-201,Plut_plut2.m8.18517.m1,38.967,426,243,8,8,427,13,1257,1.1e-78,254,Plut,ACAT1-201_Plut
ACAT1-201,Prus_24985_t,31.463,410,224,9,38,409,148,1320,2.23e-42,156,Prus,ACAT1-201_Prus
ACAT1-201,Pver_TRINITY_DN9271_c0_g1_i1,42.386,394,217,6,41,427,75,1247,3.42e-90,283,Pver,ACAT1-201_Pver
ACAT1-201,Spis_Stylophora_pistillata_18675,40.561,392,225,6,40,425,52,1221,1.25e-81,256,Spis,ACAT1-201_Spis
ACAT2-201,Adig_Acropora_digitifera_13409,45.408,392,208,5,7,395,19,1185,1.77e-105,316,Adig,ACAT2-201_Adig
ACAT2-201,Ahya_Acropora_hyacinthus_4520,43.706,286,154,4,8,290,79,924,5.73e-73,228,Ahya,ACAT2-201_Ahya
ACAT2-201,Amil_Acropora_millepora_16320,59.113,406,149,1,8,396,4,1221,2.65e-178,502,Amil,ACAT2-201_Amil
ACAT2-201,Apal_XM_021052888.2,43.257,393,219,3,5,395,106,1278,7.25e-99,306,Apal,ACAT2-201_Apal
ACAT2-201,Apoc_chromosome_10.2367_1,44.081,397,213,5,3,396,98,1270,6.01e-104,314,Apoc,ACAT2-201_Apoc
ACAT2-201,Aque_XM_003383217.3,42,400,217,7,5,396,121,1299,4.34e-100,305,Aque,ACAT2-201_Aque
ACAT2-201,Cgig_G17019.10,43.797,395,215,4,3,396,43,1209,5.42e-103,311,Cgig,ACAT2-201_Cgig
ACAT2-201,Emue_Em0023g560a.t1,60.256,390,155,0,8,397,7,1176,2.9e-175,494,Emue,ACAT2-201_Emue
ACAT2-201,Gasp_gasp1.m3.11053.m1,54.591,403,169,2,8,396,109,1317,5.7e-150,433,Gasp,ACAT2-201_Gasp
ACAT2-201,Gfas_gfas1.m1.3722.m1,58.654,416,138,3,8,396,48,1274,3.67e-166,479,Gfas,ACAT2-201_Gfas
ACAT2-201,Hsal_ENA_GHBP01000655_GHBP01000655.1,43.902,205,100,5,198,396,980,1567,3.66e-43,157,Hsal,ACAT2-201_Hsal
